Title,Title_URL,Image,arow,asizemini,aoffscreen,arow2,acolumn,Field1,Text,Text1,Field2
,,,,,,,,,,,
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms, NVIDIA® GeForce RTX™ 5060, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home, G615JMR-AS74",https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0DZZWMB2L/ref=sr_1_1?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-1,https://m.media-amazon.com/images/I/81n1T4CYfmL._AC_UY218_.jpg,4.4,(589),"PKR 438,210.90","PKR 25,993.47 delivery Tue, Sep 29","Tue, Sep 29",,,,"ASUS
ROG Strix G16
16 inches
Eclipse Gray
1 TB
Core i7
16 GB
Windows 11 Home
ROG Nebula Display, Tri-Fan Technology
Dedicated"
"Acer Nitro V 16S AI Gaming Laptop | AMD Ryzen 7 260 Processor | NVIDIA GeForce RTX 5060 Laptop GPU (572 AI Tops) | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",https://www.amazon.com/Gaming-Processor-GeForce-Display-ANV16S-41-R2AJ/dp/B0F195W823/ref=sr_1_2?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-2,https://m.media-amazon.com/images/I/71HHF2jUnpL._AC_UY218_.jpg,4.4,(341),"PKR 401,900.98","PKR 22,853.08 delivery Tue, Sep 29","Tue, Sep 29",,,,"Acer
Acer Nitro V 16S AI
16 inches
Black
1000 GB
Ryzen 7
32 GB
Windows 11 Home
Backlit Keyboard, Numeric Keypad
Dedicated"
"ASUS TUF A14 Gaming Laptop, AMD Ryzen AI Max+ 392, 32 GB LPDDR5X RAM, 1 TB PCIe SSD, 14"" WQXGA (2560x1440) 165Hz, AMD Radeon 8060S Graphics, Backlit Keyboard, W11 Pro, Jaeger Gray + Traix Mousepad",https://www.amazon.com/ASUS-2560x1440-Graphics-Keyboard-Mousepad/dp/B0HH57X1TK/ref=sr_1_3?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-3,https://m.media-amazon.com/images/I/716r0VDnTwL._AC_UY218_.jpg,,,3 capacities,,,,,,"ASUS
FA401EA-DS96H502
14 inches
Jaegar Gray
1 TB
Ryzen 9
32 GB
Windows 11 Pro
Backlit Keyboard
Integrated"
"FUNYET Gaming Laptop,Window 11 Pro Laptop Computer, 15.6 Inch Lap Top PC 2026, AMD Ryzen 7 6800H Processor,24GB DDR5 RAM 1TB SSD, FHD Display,WiFi 5,BT5.0,Backlit Keyboard,Office 365 for Business,Work",https://aax-us-east-retail-direct.amazon.com/x/c/JMCHTnhL8umEpbEe6Zu91EEAAAGguZKT-wEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDIgICDSp6fG/clv1c_ek-YxPHTIsbQDZHyXAN0czJZ7dkYWTHQfUUaNL7cqruFGncTbjpkfliEOcR9kvNTvVUBPapguj3PY9ROEQsgaQ_2Ry8nv82qkGiPYM8bkDvZpnENiqsPdq2-_-wnqpLx1wBjP8D4A0tk0Hy4rqF3fzkVlI9GgBTrhhSwzyt6wA6fGm0ZNOBszNEcl-b_N1nGsC8mdMxjtI9ROB-dt0bZ4JLPjd4-T4lX8If2YPGNbyYraQGxO2J9s5esvhU14A7h5_Yl4EdpIcG6Kr3Kycha2SO70PRA5M8_uBHO7EgwyIsEYUIz4Vjhe-5yLYcqCwLN38I1W8fZ-YCFL6BtUSWO6-b4awLn6t6FMLi9Vex3Sje_s6zFVwJBJPoCrh4tH2Q5RHYFtcHmeWivuZp41r2YCAWg-pcN9FEtEM3PpRUrIVDd8NOE5l1Tmn2cZ9vWdPRN6qFGJu2KaPU29D0vHOEqbHHKGDuvL58o1oe8ccNDurFOT29ZGrbIHPdo1mLzjdnjiQms24r7GJZgb593LDS8jNSt5nSbrjtAdMl5XIsTvBUP3XG4mcEsjPL7jcdUhhZp4Z0jvsynB5BhaAxEMQHoiqtYus2MWm93ol3CqcQPg6J21w8PBMwUSzYj54oIY1dEyg2Jr2QPz23VHj9YcgghGGk-rdUju9wKEPofff_Bc-wG43HXrMctUj64DkKPG0F3-gToJFIyC-ZTy6FSDLm9lDDqTmFOn56B8xvtyeBJQ7h7wwzRYku0-3kiQ8NvRAr33x8ttKaGBMYBftRFs6a2reDRWf-Sk6cE84F7px8izROGYVLqzvxvOMi2I2Dr3P8agJ5NwX2SXshVMCrTX_ADQ6u5l5q3xnkgsxoBc8BB39gco86RK9v4-84G7Cqq3-Wez9zv2GgoI8TEiQnPM6R0ZVpI1QCDinln_91YDU5MEdz3U3JL9oLUBiWK8f5XIaiVp_PYA_eZ90Ip0vpYJTQS3E2-N7oXgQsDMMia9Au_-9aJZuTwmXRPP9zXByseC5qqld5iRsg_oQqUyaHw3_NrB4qtkBxKDxXoIRrDnym-k-pWL6_fQ-B12NR7yZLH1sSKRbSKyzNqrOhZyFXPN03lJ54y2__GO34g6KLA4m_4mEHheO6hNn1oVVCoTJQ3v1uyH_OyJbMlNDBborpbux1kVphgh2Ip4W56T7dOX69MBDPuEk6LpXQ9d1DB4RiHbchDusWH8_fSV87B3nNPPnxts9t24GudJ3e59CMsGsdODcCVIYybQTtkyn9MnUleH926evLedghO2sXNQ3KeFkPjf1g7dVm09R07z4a7Z5AywO9oaFQWNAO3QrUp6de4cSdqlhT6WU7lYza1-qjPLSBKg8xSMhSMTkwMdxI0m0n8aSR-SB2bS0c2jn_BC6y_y4IlrfjDiv7EXgyjAnlg1t6550z0tHc9RGKsDCcTqztoCbbV0PYAPmGoEqwcSUU0GgBitHUsCiR_U94KYwcrJvQJDWMmGFPze4OePIhkVku4LJv2OnORQXVSQUWlTWr-UpRElXjE5bu5JH6ZJALZikM5kypAZMMpvhoK6lZwdNcP3Byvpm5Kf_Q0tBNn1J-7_CeGPrNKe4sRHzoOF6PhGNZ_yay4Ais4Qxfzmh7A1rA2nQiRYJh26shOhsNAIMQJ0O36_RemHxmEoqAE0m3M3n8gqEwoyw/https://www.amazon.com/FUNYET-Computer-Processor-Keyboard-Business/dp/B0H4JHNJ4V/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc%3Aamzn1.sym.a120b15e-b9f5-458c-b2ab-4fe23ec1befc&crid=3LC9VL11Q1Y6Z&cv_ct_cx=gaming+laptops&keywords=gaming+laptops&pd_rd_i=B0H4JHNJ4V&pd_rd_r=8add4ce2-b5e2-4bbd-b9a8-49698a5c6944&pd_rd_w=z6Ku0&pd_rd_wg=yoAue&pf_rd_p=a120b15e-b9f5-458c-b2ab-4fe23ec1befc&pf_rd_r=VZB2FV2SMZJTYGFZXGGY&qid=1789819786&sbo=9ZOMT9Jm0JH%2Ft%2BWi68iDSA%3D%3D&sprefix=%2Caps%2C392&sr=1-1-b8f34313-536f-475f-9207-a7c427a641c1,,4.4,(11),"PKR 188,476.23","PKR 19,036.38 delivery Tue, Sep 29","Tue, Sep 29","PKR235,595.98",,,
,,,,,,,,,,,
"KAIGERR Gaming Laptop, Laptop with AMD Ryzen 7430U(Up to 4.3GHz), 16GB DDR4 512GB SSD Laptop Computer, 1920P FHD Display, WiFi 6, USB3.2, Type_C, Webcam Cover Slide",https://www.amazon.com/KAIGERR-Gaming-Laptop-Computer-Display/dp/B0HFSB44KN/ref=sr_1_4?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-4,https://m.media-amazon.com/images/I/71kEunh4iBL._AC_UY218_.jpg,4.7,(18),"PKR 155,215.23","PKR 18,759.20 delivery Tue, Sep 29","Tue, Sep 29","PKR471,194.73",,,"KAIGERR
LX16PRO
16 inches
Sophisticated Grey
512 GB
AMD R Series
16 GB
Windows 11
Lightweight, Numeric Keypad
Integrated"
"Lenovo Legion 5 15IRX10 15.1"" WQXGA OLED, Gaming Laptop, Intel Core i9 14th Gen 14900HX 1.6GHz; NVIDIA GeForce RTX 5070 8GB GDDR7; 32GB DDR5 RAM; 1TB NVMe M.2 SSD; Gigabit LAN, 2x2 WiFi 7",https://www.amazon.com/Lenovo-Legion-15IRX10-14900HX-GeForce/dp/B0FHXGDZ5Q/ref=sr_1_5?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-5,https://m.media-amazon.com/images/I/61cE4bxZ4uL._AC_UY218_.jpg,4.3,(28),,,,,,,"Lenovo
Legion 5
15.1 inches
Black
1 TB
Intel Core i9
32 GB
Windows 11 Home
RGB Backlight
Dedicated"
"18.5 Inch Gaming Laptop with 7000 mAh Battery,AMD Ryzen 7430U UP to 4.3GHZ",https://www.amazon.com/Gaming-Laptop-Battery-Ryzen-4-3GHZ/dp/B0HF3J55CY/ref=sr_1_6?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-6,https://m.media-amazon.com/images/I/715V4VP-nfL._AC_UY218_.jpg,4.8,(18),"PKR 182,655.55","PKR 21,996.61 delivery Tue, Sep 29","Tue, Sep 29","PKR443,477.23",,,"MALLRACE
AX18-7430U
18.5 inches
Matte Grey
512 GB
Ryzen 5
16 GB
Windows 11
18.5 inch laptop, 7000mAh Large Battery, AMD Ryzen 7430U, HD Audio, Memory Card Slot
Integrated"
"KAIGERR Gaming Laptop, 24GB DDR5 512GB NVMe SSD Laptop Computer with AMD Ryzen 7 H255(8C/16T, Up to 4.9GHz), 16.0 inch Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB",https://www.amazon.com/KAIGERR-Computer-Windows-Graphics-Backlit/dp/B0HF7XD4VY/ref=sr_1_7?crid=3LC9VL11Q1Y6Z&dib=eyJ2IjoiMSJ9.U2f6tF7U4FXBlufzzxuXjnv_GdNqW7CiSoYDvSuongDXJWA625NT4G_HcCMR46-_8bO8rQDLwftxYPs9ljScRM_SbL8_cN8VvuCkUgnOvSOoHzDcdKKiOcdz1oG0PnxfJTbvu8TzfUsLExe1ajxbM3g_sTV4ZqFymj-480Or8qxXeNsikJI5RdR6NG_pfV_r6WfgdZpalTD-kYdJcPz9f5qE1Z09Dq84ivovAw8Fsr4.ve32C26LJDBbbUmFYHkl1TTlVlSujzPtZELPqGRBN1w&dib_tag=se&keywords=gaming+laptops&qid=1789819786&sprefix=%2Caps%2C392&sr=8-7,https://m.media-amazon.com/images/I/81m-bBjxVcL._AC_UY218_.jpg,3.9,(26),"PKR 526,629.73","PKR 19,244.26 delivery Tue, Sep 29","Tue, Sep 29",,,,"KAIGERR
S16
16 inches
Newest Grey
512 GB
AMD Ryzen 7
24 GB
Windows 11
Backlit Keyboard, High Performance, Lightweight, Numeric Keypad
Integrated"
